circuit_name,category,LLM,failed,R1,R2,R3,R4,R5,RV1,fidelity,tvd,depth_src,depth_trans,vulnerable
route_linear_chain,routing,0,0,0,0,0,0,0,1,0.6631965626440608,0.3349609375,6,8.0,1
toffoli_n3,other,0,0,0,0,0,0,0,1,0.7958984375,0.2041015625,13,15.0,1
bell_barrier,other,0,0,0,0,0,0,0,0,0.9462569767902602,0.0537109375,3,5.0,0
llm_teleport_with_reset,LLM,1,0,0,0,0,0,0,0,0.9966317029121075,0.048828125,8,12.0,0
llm_route_dense_cz,LLM,1,0,0,0,0,0,1,0,0.9940011131778596,0.0634765625,7,16.0,1
qft_four_qubit,qft,0,0,0,0,0,0,1,0,0.9930872763899914,0.0654296875,9,29.0,1
cia_demo,other,0,0,1,1,0,0,1,1,0.8971078386275996,0.1025390625,6,8.0,1
llm_measurement_misuse,LLM,1,0,1,1,0,0,0,0,0.9068097182554691,0.0927734375,4,6.0,1
basis_change_n3,other,0,0,0,0,0,0,0,1,0.5195312500000001,0.48046875,22,51.0,1
llm_teleport_dense_entanglement,LLM,1,0,0,0,0,0,0,1,0.9259914700254979,0.23046875,6,13.0,1
teleportation_n3,teleport,0,0,0,0,0,0,0,0,0.9852848252171587,0.0830078125,7,9.0,0
qc_sm_n5,other,0,0,1,0,0,0,0,1,0.8701171875000001,0.1298828125,7,10.0,1
vqe_reset_reuse,vqe,0,0,0,0,0,0,0,0,0.9446064178764026,0.0830078125,7,13.0,0
ghz_three_qubit,other,0,0,0,0,0,0,0,0,0.9224740365025239,0.0771484375,4,6.0,0
llm_swap_heavy,LLM,1,0,0,0,1,0,1,1,0.2917322522400618,0.7080078125,7,42.0,1
square_root_n18,other,0,0,0,0,0,0,0,1,1.3977865457050687e-05,0.9970703125,203,1430.0,1
route_long_range_pairs,routing,0,0,0,0,1,0,0,1,0.7179869634125561,0.2802734375,4,9.0,1
bv_n14,other,0,0,0,0,0,0,0,1,0.45312499999999994,0.546875,17,20.0,1
llm_route_long_range_pairs,LLM,1,0,0,0,0,0,0,1,0.7224860757529121,0.2734375,4,9.0,1
bell_state,other,0,0,0,0,0,0,0,0,0.9379731876797289,0.0615234375,3,5.0,0
llm_ghz_three_qubit,LLM,1,0,0,0,0,0,0,1,0.8666576558747996,0.1328125,4,6.0,1
llm_vqe_reset_reuse,LLM,1,0,0,0,0,0,0,1,0.8522941039192761,0.23828125,7,13.0,1
llm_route_measure_then_route,LLM,1,0,0,0,0,0,0,1,0.6648006560281883,0.3349609375,5,9.0,1
llm_sdk_aer_import_old,LLM,1,1,0,0,0,0,0,0,,,0,,0
sat_n11,other,0,0,0,0,0,0,0,1,0.7846000416125828,0.3291015625,51,458.0,1
bell_no_reset_reuse,other,0,0,1,1,0,0,0,0,0.9549612166886993,0.044921875,4,8.0,1
